Experiment	DPI	Individual	Storage.Box	Gene/Control	Treatment	Concentration.ug/ul	Stage.Injected	Stage.Scored	Gula	Eyes	Labium	Beak	Stylets	Antenae	Scapes	Pedicels	A1	A2	A3	Collar	Pronotum	D.T1.Posterior.margin.central	D.T1.Posterior.margin.corners	Scutellar.lobe	Mesonotum	Metanotum	T1.LL.leg	Pl.lobes1	Pn.Pl.Junction	Pos.Pl1	T1.LL.supracoxal.lobes	T1.LL.posterior.pleural.margin	T1 LL pronotum pleural junction	T1 RL leg	T1 RL supracoxal lobes	T1 RL posterior pleural margin	T1 RL pronotum pleural junction	T2 LL leg	Pl.lobes2	Pos.Pl2	T2.LL.supracoxal.lobes	T2.LL.posterior.pleural.margin	T2.L.wing.base	T2.RL.leg	T2.RL.supracoxal.lobes	T2.RL.posterior.pleural.margin	T2.R.wing.base	T3.LL.leg	Sc.Gland	Pos.Pl.3	T3.LL.post.pleural.margin	T3.LL.scent.gland	T3.LL.wing.base	T3.RL.leg	T3.RL.post.pleural.margin	T3.RL.scent.gland	T3.RL.wing.base	Metasternum	V.T1.sternum	V.T2.sternum	V.T3.sternum	Abd.Ventral	Notch.F	Genitals	Sex	Abd.Dorsal	Anal.tube	L.FW.hemelytra	L.FW.membranous	Wing.hinges	Wing.sclerites	T2.FW.L.Hinge.Area	T2.FW.L.Axillary.sclerites	L.HW	T3.HW.L.Wing.blade	T3.HW.L.Hinge.Area	T3.HW.L.Axillary.sclerites	R.FW.hemelytra	R.FW.membranous	T2.FW.R.Hinge.Area	T2.FW.R.Axillary.sclerites	R.HW	T3.HW.R.Wing.blade	T3.HW.R.Hinge.Area	T3.HW.R.Axillary.sclerites	Old.ID	Notes	Severity	Abnormal	How.Informative	Wing.Phenotypic	Wing.Bin	Pronotum.Phenotype	Pronotum.Bin	Pleural.Margins	Pleural.Margin.Bin	Supracoxal.lobes	Supracoxal.lobes.Bin
181	10	C	JK.B5.C5	control	GFP	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	30	0	0	0	TRUE	0	TRUE	0	TRUE
181	10	D	JK.B5.D3	control	GFP	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	NS	NS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	28	0	0	0	TRUE	0	TRUE	0	TRUE
181	13	A	JK.B5.D4	control	GFP	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	NS	NS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	28	0	0	0	TRUE	0	TRUE	0	TRUE
181	13	B	JK.B5.D5	control	GFP	1	L4/L5	adult	NS	0	0	0	0	1	NA	NA	NA	NA	NA	0	0	0	0	0	NS	NS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	1	1	28	0	0	0	TRUE	0	TRUE	0	TRUE
181	13	C	JK.B5.D6	control	GFP	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	NS	NS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	29	0	0	0	TRUE	0	TRUE	0	TRUE
181	13	D	JK.B5.D7	control	GFP	1	L4/L5	adult	NS	0	0	0	0	1	NA	NA	NA	NA	NA	0	0	0	0	0	NS	NS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	1	1	29	0	0	0	TRUE	0	TRUE	0	TRUE
181	13	E	JK.B5.D8	control	GFP	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	NS	NS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	29	0	0	0	TRUE	0	TRUE	0	TRUE
181	13	F	JK.B5.D9	control	GFP	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	NS	NS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	f	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	NA	NA	1	1	29	1	1	0	TRUE	0	TRUE	0	TRUE
181	13	G	JK.B5.E1	control	GFP	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	NS	NS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	29	0	0	0	TRUE	0	TRUE	0	TRUE
181	15	A	JK.B5.E2	control	GFP	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	NS	NS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	NA	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	28	0	0	0	TRUE	0	TRUE	0	TRUE
186	8	A	JK.B5.E5	control	GFP	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	1	1	0	1	NS	NS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	2	1	29	0	0	1	TRUE	0	TRUE	0	TRUE
186	8	B	JK.B5.E6	control	GFP	1	L4/L5	adult	NS	0	0	0	0	1	NA	NA	NA	NA	NA	0	1	1	0	1	NS	NS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	3	1	29	0	0	1	TRUE	0	TRUE	0	TRUE
186	8	C	JK.B5.E7	control	GFP	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	NS	NS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	28	0	0	0	TRUE	0	TRUE	0	TRUE
186	11	A	JK.B5.F8	control	GFP	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	NS	NS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	28	0	0	0	TRUE	0	TRUE	0	TRUE
186	11	B	JK.B5.F9	control	GFP	1	L4/L5	adult	NS	0	0	0	0	1	NA	NA	NA	NA	NA	0	0	0	0	1	NS	NS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	2	1	28	0	0	0	TRUE	0	TRUE	0	TRUE
190	8	A	JK.B7.B9	control	GFP	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	30	0	0	0	TRUE	0	TRUE	0	TRUE
190	9	A	JK.B7.C1	control	GFP	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	31	0	0	0	TRUE	0	TRUE	0	TRUE
190	12	A	JK.B7.C2	control	GFP	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	30	0	0	0	TRUE	0	TRUE	0	TRUE
190	12	B	JK.B10.B5	control	GFP	1	L4/L5	adult	0	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	32	0	0	0	TRUE	0	TRUE	0	TRUE
190	12	C	JK.B10.B6	control	GFP	1	L4/L5	adult	0	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	31	0	0	0	TRUE	0	TRUE	0	TRUE
190	12	D	JK.B10.B7	control	GFP	1	L4/L5	adult	0	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	NA	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	31	0	0	0	TRUE	0	TRUE	0	TRUE
190	12	E	JK.B10.B8	control	GFP	1	L4/L5	adult	0	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	32	0	0	0	TRUE	0	TRUE	0	TRUE
190	13	A	JK.B10.B9	control	GFP	1	L4/L5	adult	0	0	0	0	0	NS	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	30	0	0	0	TRUE	0	TRUE	0	TRUE
190	14	A	JK.B10.C8	control	GFP	1	L4/L5	adult	0	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	31	0	0	0	TRUE	0	TRUE	0	TRUE
190	14	B	JK.B10.C9	control	GFP	1	L4/L5	adult	0	0	0	0	0	NS	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	30	0	0	0	TRUE	0	TRUE	0	TRUE
190	14	C	JK.B10.D1	control	GFP	1	L4/L5	adult	0	0	0	0	0	NS	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	m	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1	1	0	1	NA	NA	3	1	30	3	1	0	TRUE	0	TRUE	0	TRUE
190	14	D	JK.B10.D2	control	GFP	1	L4/L5	adult	0	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	31	0	0	0	TRUE	0	TRUE	0	TRUE
190	15	A	JK.B10.D3	control	GFP	1	L4/L5	adult	0	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	32	0	0	0	TRUE	0	TRUE	0	TRUE
192	11	A	JK.B7.E2	control	GFP	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NS	0	0	0	0	0	NS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	31	0	0	0	TRUE	0	TRUE	0	TRUE
192	11	B	JK.B7.E3	control	GFP	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	30	0	0	0	TRUE	0	TRUE	0	TRUE
192	11	C	JK.B7.E4	control	GFP	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	1	1	31	0	0	0	TRUE	0	TRUE	0	TRUE
192	11	D	JK.B7.D3	control	GFP	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	NS	NS	NS	NS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	28	0	0	0	TRUE	0	TRUE	0	TRUE
192	11	E	JK.B7.D4	control	GFP	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	31	0	0	0	TRUE	0	TRUE	0	TRUE
192	13	A	JK.B7.D5	control	GFP	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	31	0	0	0	TRUE	0	TRUE	0	TRUE
192	14	A	JK.B7.D6	control	GFP	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NS	0	0	0	0	0	NS	0	0	0	0	0	0	0	0	NA	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	30	0	0	0	TRUE	0	TRUE	0	TRUE
192	15	A	JK.B7.D7	control	GFP	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	31	0	0	0	TRUE	0	TRUE	0	TRUE
192	15	B	JK.B7.D8	control	GFP	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	30	0	0	0	TRUE	0	TRUE	0	TRUE
192	15	C	JK.B7.D9	control	GFP	1	L4/L5	adult	NS	0	0	0	0	NS	NA	NA	NA	NA	NA	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	1	1	30	0	0	0	TRUE	0	TRUE	0	TRUE
192	18	A	JK.B7.E1	control	GFP	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	31	0	0	0	TRUE	0	TRUE	0	TRUE
194	14	A	JK.B5.H1	control	GFP	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	NS	NS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	28	0	0	0	TRUE	0	TRUE	0	TRUE
194	14	B	JK.B5.H2	control	GFP	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	NS	NS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	28	0	0	0	TRUE	0	TRUE	0	TRUE
194	14	C	JK.B5.H3	control	GFP	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	NS	NS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	28	0	0	0	TRUE	0	TRUE	0	TRUE
194	14	D	JK.B5.H9	control	GFP	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	NS	NS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	28	0	0	0	TRUE	0	TRUE	0	TRUE
194	17	A	JK.B5.I1	control	GFP	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	NS	NS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	28	0	0	0	TRUE	0	TRUE	0	TRUE
194	17	B	JK.B5.I2	control	GFP	1	L4/L5	adult	NS	0	0	0	0	1	NA	NA	NA	NA	NA	0	0	0	0	0	NS	NS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	NA	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	1	1	28	0	0	0	TRUE	0	TRUE	0	TRUE
194	17	C	JK.B9.H1	control	GFP	1	L4/L5	adult	0	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	32	0	0	0	TRUE	0	TRUE	0	TRUE
194	17	D	JK.B9.H2	control	GFP	1	L4/L5	adult	0	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	31	0	0	0	TRUE	0	TRUE	0	TRUE
194	18	A	JK.B9.H3	control	GFP	1	L4/L5	adult	0	0	0	0	0	NS	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	31	0	0	0	TRUE	0	TRUE	0	TRUE
194	18	B	JK.B9.H4	control	GFP	1	L4/L5	adult	0	0	0	0	0	0	NA	NA	NA	NA	NA	0	1	1	1	1	NS	NS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	f	0	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	1	1	1	1	NA	NA	6	1	30	4	1	1	TRUE	0	TRUE	0	TRUE
202	8	A	JK.B8.I6	control	GFP	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	30	0	0	0	TRUE	0	TRUE	0	TRUE
202	8	B	JK.B8.I8	control	GFP	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	30	0	0	0	TRUE	0	TRUE	0	TRUE
202	9	A	JK.B8.I7	control	GFP	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	31	0	0	0	TRUE	0	TRUE	0	TRUE
202	12	A	JK.B9.B9	control	GFP	1	L4/L5	adult	0	0	0	0	0	NS	NA	NA	NA	NA	NA	0	0	0	0	0	NS	NS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	29	0	0	0	TRUE	0	TRUE	0	TRUE
202	13	A	JK.B9.C1	control	GFP	1	L4/L5	adult	0	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	NS	NS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	30	0	0	0	TRUE	0	TRUE	0	TRUE
202	16	A	JK.B9.C2	control	GFP	1	L4/L5	adult	0	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	NS	NS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	30	0	0	0	TRUE	0	TRUE	0	TRUE
202	16	B	JK.B10.E4	control	GFP	1	L4/L5	adult	0	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	31	0	0	0	TRUE	0	TRUE	0	TRUE
