Experiment	DPI	Individual	Gene.Control	Treatment	L.FW.hemelytra	R.FW.hemelytra	R.FW.membranous	aggregate
732	244	10	D	tio	TIO-1	NA	NA	NA	0
733	244	10	E	tio	TIO-1	1	1	NA	2
734	244	10	F	tio	TIO-1	1	1	NA	2
735	244	11	A	tio	TIO-1	0	0	0	0
736	244	14	A	tio	TIO-1	0	0	0	0
737	244	14	D	tio	TIO-1	0	0	0	0
738	244	20	A	tio	TIO-1	NA	NA	NA	0
739	244	20	B	tio	TIO-1	NA	NA	NA	0
740	244	20	B	tio	TIO-1	NA	NA	NA	0
741	244	20	C	tio	TIO-1	NA	NA	NA	0
742	201	7	A	tio	TIO-2	1	1	0	2
743	201	7	B	tio	TIO-2	1	1	0	2
744	201	9	A	tio	TIO-2	NA	NA	NA	0
745	201	9	B	tio	TIO-2	1	1	0	2
746	201	9	C	tio	TIO-2	1	1	0	2
747	201	12	A	tio	TIO-2	0	0	0	0
748	201	12	B	tio	TIO-2	1	1	NA	2
749	201	12	C	tio	TIO-2	NA	NA	NA	0
750	201	13	A	tio	TIO-2	1	1	NA	2
751	201	14	A	tio	TIO-2	1	0	0	1
752	201	16	A	tio	TIO-2	NA	NA	NA	0
753	201	16	B	tio	TIO-2	1	1	NA	2
754	201	28	A	tio	TIO-2	NA	NA	NA	0
755	201	28	B	tio	TIO-2	NA	NA	NA	0
756	222	10	A	tio	TIO-2	1	1	0	2
757	222	11	A	tio	TIO-2	1	1	0	2
758	222	11	B	tio	TIO-2	1	1	NA	2
759	222	13	A	tio	TIO-2	1	1	NA	2
760	222	13	B	tio	TIO-2	1	1	NA	2
761	222	17	A	tio	TIO-2	1	1	NA	2
762	246	8	A	tio	TIO-2	0	0	0	0
763	246	10	A	tio	TIO-2	1	1	NA	2
764	246	10	B	tio	TIO-2	1	1	NA	2
765	246	10	C	tio	TIO-2	1	1	NA	2
766	246	10	D	tio	TIO-2	1	1	NA	2
767	246	10	E	tio	TIO-2	1	1	1	3
768	246	14	A	tio	TIO-2	NA	NA	NA	0
769	246	14	B	tio	TIO-2	1	1	NA	2
770	246	20	A	tio	TIO-2	1	1	NA	2
771	246	20	B	tio	TIO-2	1	1	NA	2
772	246	20	C	tio	TIO-2	1	1	NA	2
773	103	8	A	tup	TUP-1	0	0	0	0
774	103	9	A	tup	TUP-1	0	0	0	0
775	103	11	A	tup	TUP-1	0	0	0	0
776	103	14	A	tup	TUP-1	0	0	0	0
777	103	15	A	tup	TUP-1	0	0	0	0
778	208	11	A	tup	TUP-1	0	0	0	0
779	208	13	A	tup	TUP-1	0	0	0	0
780	208	10/25	A	tup	TUP-1	NA	NA	NA	0
781	208	10/25	B	tup	TUP-1	NA	NA	NA	0
782	208	10/25	C	tup	TUP-1	NA	NA	NA	0
783	208	10/25	D	tup	TUP-1	NA	NA	NA	0
784	241	9	A	tup	TUP-1	0	0	0	0
785	241	9	B	tup	TUP-1	0	0	0	0
786	241	9	C	tup	TUP-1	0	0	0	0
787	241	11	A	tup	TUP-1	0	0	0	0
788	241	11	B	tup	TUP-1	0	0	0	0
789	241	11	C	tup	TUP-1	0	0	0	0
790	241	11	D	tup	TUP-1	0	0	0	0
791	241	11	E	tup	TUP-1	0	0	0	0
792	241	14	A	tup	TUP-1	0	0	0	0
793	241	14	B	tup	TUP-1	0	0	0	0
794	241	14	C	tup	TUP-1	0	0	0	0
795	241	15	A	tup	TUP-1	0	0	0	0
796	241	15	B	tup	TUP-1	0	0	0	0
797	241	15	C	tup	TUP-1	0	0	0	0
798	84	4	A	tup	TUP-2	0	0	0	0
799	84	6	A	tup	TUP-2	0	0	0	0
800	84	11	A	tup	TUP-2	0	0	0	0
801	84	11	B	tup	TUP-2	0	0	0	0
802	84	11	C	tup	TUP-2	1	1	1	3
803	84	11	D	tup	TUP-2	0	0	0	0
804	84	11	E	tup	TUP-2	0	0	0	0
805	84	11	F	tup	TUP-2	1	1	1	3
806	84	11	G	tup	TUP-2	0	0	0	0
807	84	11	H	tup	TUP-2	0	0	0	0
808	84	11	I	tup	TUP-2	0	0	0	0
809	84	11	J	tup	TUP-2	0	0	1	1
810	84	11	K	tup	TUP-2	0	0	0	0
811	84	11	L	tup	TUP-2	0	0	1	1
812	84	12	A	tup	TUP-2	1	1	1	3
813	86	3	A	tup	TUP-2	0	0	0	0
814	86	3	B	tup	TUP-2	0	0	2	2
815	86	3	C	tup	TUP-2	1	1	2	4
816	86	3	D	tup	TUP-2	0	0	0	0
817	86	3	E	tup	TUP-2	0	0	0	0
818	86	7	A	tup	TUP-2	1	1	1	3
819	86	7	B	tup	TUP-2	0	0	0	0
820	86	13	A	tup	TUP-2	1	1	1	3
821	86	13	B	tup	TUP-2	0	0	0	0
822	86	13	C	tup	TUP-2	2	2	2	6
823	86	13	D	tup	TUP-2	0	0	0	0
824	86	13	E	tup	TUP-2	0	0	0	0
825	86	20	A	tup	TUP-2	0	0	0	0
826	114	8	A	tup	TUP-2	0	0	0	0
827	114	9	A	tup	TUP-2	0	0	0	0
828	114	9	B	tup	TUP-2	0	0	0	0
829	114	9	C	tup	TUP-2	0	0	0	0
830	114	10	A	tup	TUP-2	0	0	0	0
831	114	10	B	tup	TUP-2	0	0	0	0
832	114	13	A	tup	TUP-2	0	0	0	0
833	114	13	B	tup	TUP-2	0	0	0	0
834	114	13	C	tup	TUP-2	0	0	0	0
835	114	14	A	tup	TUP-2	0	0	0	0
836	114	16	A	tup	TUP-2	0	0	0	0
837	130	10	A	ush	USH-1	NA	NA	NA	0
838	130	18	A	ush	USH-1	1	1	0	2
839	130	18	B	ush	USH-1	0	0	0	0
840	130	20	B	ush	USH-1	NA	NA	NA	0
841	130	21	A	ush	USH-1	0	0	0	0
842	130	21	B	ush	USH-1	NA	NA	NA	0
843	130	21	C	ush	USH-1	NA	NA	NA	0
844	130	22	A	ush	USH-1	NA	NA	NA	0
845	130	26	A	ush	USH-1	NA	NA	NA	0
846	191	11	A	ush	USH-1	1	1	0	2
847	191	11	B	ush	USH-1	1	1	1	3
848	191	11	C	ush	USH-1	1	1	1	3
849	191	11	D	ush	USH-1	1	1	1	3
850	191	11	E	ush	USH-1	0	0	1	1
851	191	11	F	ush	USH-1	0	0	1	1
852	191	11	G	ush	USH-1	NA	NA	NA	0
853	191	11	H	ush	USH-1	1	1	1	3
854	191	11	I	ush	USH-1	NA	NA	NA	0
855	206	7	A	ush	USH-1	NA	NA	NA	0
856	206	13	A	ush	USH-1	NA	NA	NA	0
857	206	14	A	ush	USH-1	0	0	0	0
858	206	15	A	ush	USH-1	NA	NA	NA	0
859	206	15	B	ush	USH-1	NA	NA	NA	0
860	206	15	C	ush	USH-1	NA	NA	NA	0
861	206	15	H	ush	USH-1	NA	NA	NA	0
862	206	18	A	ush	USH-1	0	0	0	0
863	206	18	B	ush	USH-1	1	1	1	3
864	206	19	B	ush	USH-1	NA	NA	NA	0
865	142	11	A	ush	USH-2	0	0	0	0
866	142	11	B	ush	USH-2	0	0	0	0
867	142	11	C	ush	USH-2	0	0	0	0
868	142	11	D	ush	USH-2	0	0	0	0
869	142	11	E	ush	USH-2	0	0	0	0
870	142	11	F	ush	USH-2	0	0	0	0
871	142	13	A	ush	USH-2	0	0	0	0
872	142	13	B	ush	USH-2	0	0	0	0
873	142	18	A	ush	USH-2	0	0	0	0
874	193	11	A	ush	USH-2	0	0	0	0
875	193	11	B	ush	USH-2	0	0	0	0
876	193	11	C	ush	USH-2	0	0	0	0
877	193	11	D	ush	USH-2	0	0	0	0
878	193	11	E	ush	USH-2	0	0	0	0
879	193	11	F	ush	USH-2	0	0	0	0
880	193	13	A	ush	USH-2	0	0	0	0
881	193	15	A	ush	USH-2	0	0	0	0
882	193	15	B	ush	USH-2	0	0	0	0
883	223	10	A	ush	USH-2	0	0	0	0
884	223	10	B	ush	USH-2	0	0	0	0
885	223	12	A	ush	USH-2	0	0	0	0
886	223	14	A	ush	USH-2	0	0	0	0
887	223	17	A	ush	USH-2	0	0	0	0
888	223	17	B	ush	USH-2	0	0	0	0
889	223	17	C	ush	USH-2	0	0	0	0
890	223	17	D	ush	USH-2	0	0	0	0
891	223	17	E	ush	USH-2	0	0	0	0
892	223	17	F	ush	USH-2	0	0	0	0
893	223	17	G	ush	USH-2	0	0	0	0
894	223	17	H	ush	USH-2	0	0	0	0
895	223	18	A	ush	USH-2	1	1	0	2
896	223	19	A	ush	USH-2	0	0	0	0
897	90	12	A	vg	VG-1	0	0	0	0
898	90	13	A	vg	VG-1	0	0	0	0
899	94	11	A	vg	VG-1	0	0	0	0
900	94	12	A	vg	VG-1	0	0	0	0
901	94	12	B	vg	VG-1	0	0	0	0
902	94	13	A	vg	VG-1	0	0	0	0
903	94	13	B	vg	VG-1	0	0	0	0
904	94	14	A	vg	VG-1	0	0	0	0
905	94	17	A	vg	VG-1	0	0	0	0
906	94	17	B	vg	VG-1	0	0	0	0
907	94	17	C	vg	VG-1	0	0	0	0
908	99	12	A	vg	VG-1	0	0	0	0
909	99	12	B	vg	VG-1	0	0	0	0
910	99	12	C	vg	VG-1	0	0	0	0
911	99	13	A	vg	VG-1	0	0	1	1
912	99	14	A	vg	VG-1	0	0	0	0
913	99	18	A	vg	VG-1	0	0	0	0
914	205	8	A	vg	VG-2	1	1	0	2
915	205	8	B	vg	VG-2	1	1	0	2
916	205	11	A	vg	VG-2	0	0	0	0
917	205	11	B	vg	VG-2	1	1	0	2
918	205	11	C	vg	VG-2	1	1	0	2
919	205	11	D	vg	VG-2	1	1	0	2
920	205	12	A	vg	VG-2	1	1	0	2
921	205	12	B	vg	VG-2	1	1	0	2
922	205	14	A	vg	VG-2	1	1	0	2
923	205	15	A	vg	VG-2	1	1	1	3
924	205	15	B	vg	VG-2	NA	NA	NA	0
925	205	18	A	vg	VG-2	1	1	1	3
926	205	18	B	vg	VG-2	1	1	1	3
927	205	20	A	vg	VG-2	1	1	0	2
928	213	13	A	vg	VG-2	1	1	0	2
929	213	13	B	vg	VG-2	1	1	0	2
930	213	14	A	vg	VG-2	1	1	0	2
931	213	15	A	vg	VG-2	1	1	0	2
932	213	15	B	vg	VG-2	1	1	0	2
933	213	15	C	vg	VG-2	1	1	0	2
934	213	15	D	vg	VG-2	1	1	0	2
935	213	15	E	vg	VG-2	1	1	0	2
936	213	17	A	vg	VG-2	1	1	0	2
937	213	17	B	vg	VG-2	1	1	1	3
938	213	17	C	vg	VG-2	1	1	0	2
939	213	20	A	vg	VG-2	1	1	1	3
940	243	14	A	vg	VG-2	1	1	0	2
941	243	15	A	vg	VG-2	1	1	1	3
942	243	15	B	vg	VG-2	1	1	0	2
943	243	18	A	vg	VG-2	1	1	1	3
944	243	21	A	vg	VG-2	1	1	0	2
945	131	18	A	zfp	ZFP-1	0	0	0	0
946	131	18	B	zfp	ZFP-1	0	0	0	0
947	131	19	A	zfp	ZFP-1	0	0	0	0
948	131	19	B	zfp	ZFP-1	0	0	0	0
949	131	21	A	zfp	ZFP-1	0	0	0	0
